datetime,anomaly,uncert
1893-11-01 00:00:00,-0.336,0.148
1893-12-01 00:00:00,-0.388,0.15
1894-01-01 00:00:00,-0.548,0.166
1894-02-01 00:00:00,-0.407,0.143
1894-03-01 00:00:00,-0.32,0.14
1894-04-01 00:00:00,-0.515,0.144
1894-05-01 00:00:00,-0.413,0.156
1894-06-01 00:00:00,-0.467,0.136
1894-07-01 00:00:00,-0.303,0.163
1894-08-01 00:00:00,-0.347,0.153
1894-09-01 00:00:00,-0.418,0.14
1894-10-01 00:00:00,-0.227,0.138
1894-11-01 00:00:00,-0.429,0.144
1894-12-01 00:00:00,-0.38,0.164
1895-01-01 00:00:00,-0.454,0.148
1895-02-01 00:00:00,-0.526,0.156
1895-03-01 00:00:00,-0.448,0.146
1895-04-01 00:00:00,-0.29,0.156
1895-05-01 00:00:00,-0.398,0.156
1895-06-01 00:00:00,-0.34,0.142
1895-07-01 00:00:00,-0.258,0.156
1895-08-01 00:00:00,-0.294,0.154
1895-09-01 00:00:00,-0.357,0.141
1895-10-01 00:00:00,-0.253,0.124
1895-11-01 00:00:00,-0.244,0.149
1895-12-01 00:00:00,-0.229,0.166
1896-01-01 00:00:00,-0.219,0.16
1896-02-01 00:00:00,-0.281,0.148
1896-03-01 00:00:00,-0.406,0.135
1896-04-01 00:00:00,-0.451,0.158
1896-05-01 00:00:00,-0.28,0.156
1896-06-01 00:00:00,-0.148,0.139
1896-07-01 00:00:00,-0.1,0.152
1896-08-01 00:00:00,-0.128,0.157
1896-09-01 00:00:00,-0.147,0.144
1896-10-01 00:00:00,-0.069,0.145
1896-11-01 00:00:00,-0.23,0.131
1896-12-01 00:00:00,-0.092,0.139
1897-01-01 00:00:00,-0.217,0.162
1897-02-01 00:00:00,-0.313,0.152
1897-03-01 00:00:00,-0.271,0.168
1897-04-01 00:00:00,-0.086,0.146
1897-05-01 00:00:00,-0.04,0.157
1897-06-01 00:00:00,-0.178,0.136
1897-07-01 00:00:00,-0.16,0.151
1897-08-01 00:00:00,-0.199,0.159
1897-09-01 00:00:00,-0.23,0.141
1897-10-01 00:00:00,-0.197,0.149
1897-11-01 00:00:00,-0.386,0.182
1897-12-01 00:00:00,-0.274,0.159
1898-01-01 00:00:00,-0.159,0.167
1898-02-01 00:00:00,-0.496,0.151
1898-03-01 00:00:00,-0.632,0.178
1898-04-01 00:00:00,-0.398,0.163
1898-05-01 00:00:00,-0.476,0.155
1898-06-01 00:00:00,-0.303,0.141
1898-07-01 00:00:00,-0.347,0.151
1898-08-01 00:00:00,-0.374,0.158
1898-09-01 00:00:00,-0.406,0.15
1898-10-01 00:00:00,-0.486,0.139
1898-11-01 00:00:00,-0.536,0.128
1898-12-01 00:00:00,-0.454,0.146
1899-01-01 00:00:00,-0.284,0.155
1899-02-01 00:00:00,-0.469,0.138
1899-03-01 00:00:00,-0.447,0.134
1899-04-01 00:00:00,-0.293,0.148
1899-05-01 00:00:00,-0.23,0.16
1899-06-01 00:00:00,-0.438,0.143
1899-07-01 00:00:00,-0.294,0.161
1899-08-01 00:00:00,-0.166,0.161
1899-09-01 00:00:00,-0.141,0.137
1899-10-01 00:00:00,-0.095,0.141
1899-11-01 00:00:00,0.015,0.145
1899-12-01 00:00:00,-0.316,0.148
1900-01-01,-0.45,0.143
1900-02-01,-0.021,0.152
1900-03-01,0.011,0.14
1900-04-01,-0.109,0.151
1900-05-01,-0.123,0.158
1900-06-01,-0.16,0.15
1900-07-01,-0.183,0.157
1900-08-01,-0.184,0.156
1900-09-01,-0.186,0.141
1900-10-01,0.014,0.136
1900-11-01,-0.209,0.123
1900-12-01,-0.183,0.16
1901-01-01,-0.299,0.137
1901-02-01,-0.122,0.144
1901-03-01,-0.029,0.13
1901-04-01,-0.049,0.141
1901-05-01,-0.151,0.152
1901-06-01,-0.246,0.14
1901-07-01,-0.272,0.151
1901-08-01,-0.228,0.152
1901-09-01,-0.308,0.131
1901-10-01,-0.3,0.139
1901-11-01,-0.331,0.138
1901-12-01,-0.314,0.134
1902-01-01,-0.302,0.156
1902-02-01,-0.078,0.134
1902-03-01,-0.38,0.133
1902-04-01,-0.337,0.141
1902-05-01,-0.375,0.148
1902-06-01,-0.409,0.131
1902-07-01,-0.297,0.14
1902-08-01,-0.306,0.148
1902-09-01,-0.326,0.133
1902-10-01,-0.407,0.12
1902-11-01,-0.563,0.12
1902-12-01,-0.527,0.159
1903-01-01,-0.275,0.144
1903-02-01,-0.141,0.153
1903-03-01,-0.299,0.14
1903-04-01,-0.497,0.129
1903-05-01,-0.44,0.154
1903-06-01,-0.548,0.133
1903-07-01,-0.486,0.146
1903-08-01,-0.586,0.148
1903-09-01,-0.567,0.155
1903-10-01,-0.585,0.118
